Pager usage is off.
Output format is csv.
sku,prod,stk,ss,val,pos,clk,cost30,vende_rete,prot_stock,categoria
984236291,RAMATONIC 10STICKPACK 10ML,9,73,12.69,1,3,0.84,t,t,HELD_rete_pos
988148540,BIOSCALIN SHAMPOO ANTIFORF NOR,9,100,11.55,1,3,0.84,f,t,MAGAZZINO_netto
921232450,PESCURA FLAT ORIG BYCAST SAB43,0,58,57.83,3,3,0.84,t,f,HELD_rete_pos
900095617,ARNICA FORTE POMATA 100ML,0,217,11.89,8,3,0.84,t,f,HELD_basket
980295455,ARTIGLIO DIAVOLO EXTRACT PLUS,0,51,6.59,6,3,0.84,f,f,GROSSISTA_netto
981505225,ESI FIT BILANCIA AZ URTO24OVAL,3,20,6.68,1,3,0.84,t,f,HELD_rete_pos
041174020,RINAZINA ANTIAL*SPRAY NAS 10ML,6,238,9.95,6,3,0.84,f,f,MAGAZZINO_netto
949973503,DIABEC 60CPS MOLLI,0,312,37.67,8,3,0.84,t,f,HELD_basket
900284353,EAU THERMALE 150ML,5,5,7.98,4,3,0.84,f,f,MAGAZZINO_netto
906810775,RUSCH 850414/1 RACC 2LT STER1P,0,238,4.70,10,3,0.84,t,f,HELD_rete_pos
931575878,GELENTERUM 15CPS ADULTI,12,341,11.11,6,3,0.84,t,f,HELD_rete_pos
921232409,PESCURA FLAT ORIG BYCAST SAB38,0,6,56.76,3,3,0.84,f,f,GROSSISTA_netto
987842198,SENSINOL SHAMPOO 200ML DUCRAY,6,369,10.95,6,3,0.84,t,f,HELD_basket
987904947,BALANIL GEL 40ML,3,1363,17.00,6,3,0.84,t,f,HELD_rete_pos
944698707,SIDERAL MED 28BUST,0,171,32.04,7,3,0.84,t,f,HELD_rete_pos
801210776,SIN 48 50ML GTT,0,7,14.83,2,3,0.84,f,f,GROSSISTA_netto
951318930,LFP SOL SPRAY CORPO 30 200ML,21,0,14.42,1,3,0.84,f,t,MAGAZZINO_netto
